mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
4	3	18	18	1.0	1	1	3/2	4	1	1/4	1/4	1		9	51	D#3	3	60
4	3	18	18	1.0	1	1	3/2	1	1	1/4	1/4	1		5	71	B4	4	44
4	3	18	18	2.0	1	1	3/2	2	1	1/2	1/2	1		6	78	F#5	5	49
4	3	19	19	1.0	5/4	5/4	3/2	3	1	1/4	1/4	1		5	47	B2	2	55
4	3	19	19	1.0	5/4	5/4	3/2	4	1	1/4	1/4	1		5	47	B2	2	61
4	3	19	19	1.0	5/4	5/4	3/2	1	1	1/4	1/4	1		3	69	A4	4	45
5	4	20	20	1.0	0	0	3/2	3	1	1/4	1/4	1		4	52	E3	3	69
5	4	20	20	1.0	0	0	3/2	4	1	1/4	1/4	1		4	52	E3	3	75
5	4	20	20	3.0	0	0	3/2	1	1	3/4	1/2	3/2		8	68	G#4	4	62
5	4	20	20	2.0	0	0	3/2	2	1	1/2	1/2	1		6	78	F#5	5	66
5	4	21	21	1.0	1/4	1/4	3/2	3	1	1/4	1/4	1		9	51	D#3	3	70
5	4	21	21	1.0	1/4	1/4	3/2	4	1	1/4	1/4	1		9	51	D#3	3	76
5	4	22	22	1.0	1/2	1/2	3/2	3	1	1/4	1/4	1		4	52	E3	3	71
5	4	22	22	1.0	1/2	1/2	3/2	4	1	1/4	1/4	1		4	52	E3	3	77
5	4	22	22	2.0	1/2	1/2	3/2	2	1	1/2	1/2	1		4	76	E5	5	67
5	4	23	23	1.0	3/4	3/4	3/2	3	1	1/4	1/4	1		6	54	F#3	3	72
5	4	23	23	1.0	3/4	3/4	3/2	4	1	1/4	1/4	1		6	54	F#3	3	78
5	4	23	23	1.0	3/4	3/4	3/2	1	1	1/4	1/4	1		5	71	B4	4	63
5	4	24	24	1.0	1	1	3/2	3	1	1/4	1/4	1		8	56	G#3	3	73
5	4	24	24	1.0	1	1	3/2	4	1	1/4	1/4	1		8	56	G#3	3	79
5	4	24	24	2.0	1	1	3/2	2	1	1/2	1/2	1	1	5	71	B4	4	68
5	4	24	24	1.0	1	1	3/2	1	1	1/4	1/4	1		4	76	E5	5	64
5	4	25	25	1.0	5/4	5/4	3/2	3	1	1/4	1/4	1		4	52	E3	3	74
